#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.169473978346 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.27293210      0.2923749133E+00
  -0.3999000000     -6.27021096      0.3066680924E+00
  -0.3998000000     -6.26748982      0.3218157602E+00
  -0.3997000000     -6.26476868      0.3378604459E+00
  -0.3996000000     -6.26204754      0.3548431966E+00
  -0.3995000000     -6.25932641      0.3728024421E+00
  -0.3994000000     -6.25660527      0.3917725945E+00
  -0.3993000000     -6.25388413      0.4117823476E+00
  -0.3992000000     -6.25116299      0.4328526428E+00
  -0.3991000000     -6.24844185      0.4549942785E+00
  -0.3990000000     -6.24572071      0.4782051492E+00
  -0.3989000000     -6.24299957      0.5024671261E+00
  -0.3988000000     -6.24027844      0.5277426147E+00
  -0.3987000000     -6.23755730      0.5539708711E+00
  -0.3986000000     -6.23483616      0.5810642050E+00
  -0.3985000000     -6.23211502      0.6089042640E+00
  -0.3984000000     -6.22939388      0.6373386610E+00
  -0.3983000000     -6.22667274      0.6661782810E+00
  -0.3982000000     -6.22395161      0.6951956660E+00
  -0.3981000000     -6.22123047      0.7241249235E+00
  -0.3980000000     -6.21850933      0.7526636088E+00
  -0.3979000000     -6.21578819      0.7804769837E+00
  -0.3978000000     -6.21306705      0.8072049352E+00
  -0.3977000000     -6.21034591      0.8324716402E+00
  -0.3976000000     -6.20762478      0.8558977929E+00
  -0.3975000000     -6.20490364      0.8771148913E+00
  -0.3974000000     -6.20218250      0.8957807516E+00
  -0.3973000000     -6.19946136      0.9115951375E+00
  -0.3972000000     -6.19674022      0.9243142196E+00
  -0.3971000000     -6.19401908      0.9337625670E+00
  -0.3970000000     -6.19129795      0.9398415375E+00
  -0.3969000000     -6.18857681      0.9425332783E+00
  -0.3968000000     -6.18585567      0.9419000053E+00
  -0.3967000000     -6.18313453      0.9380787424E+00
  -0.3966000000     -6.18041339      0.9312721656E+00
  -0.3965000000     -6.17769225      0.9217365523E+00
  -0.3964000000     -6.17497111      0.9097680239E+00
  -0.3963000000     -6.17224998      0.8956882912E+00
  -0.3962000000     -6.16952884      0.8798309802E+00
  -0.3961000000     -6.16680770      0.8625293827E+00
  -0.3960000000     -6.16408656      0.8441061915E+00
  -0.3959000000     -6.16136542      0.8248655000E+00
  -0.3958000000     -6.15864428      0.8050870965E+00
  -0.3957000000     -6.15592315      0.7850228999E+00
  -0.3956000000     -6.15320201      0.7648952586E+00
  -0.3955000000     -6.15048087      0.7448967727E+00
  -0.3954000000     -6.14775973      0.7251912850E+00
  -0.3953000000     -6.14503859      0.7059157068E+00
  -0.3952000000     -6.14231745      0.6871823850E+00
  -0.3951000000     -6.13959632      0.6690817686E+00
  -0.3950000000     -6.13687518      0.6516851886E+00
  -0.3949000000     -6.13415404      0.6350476096E+00
  -0.3948000000     -6.13143290      0.6192102610E+00
  -0.3947000000     -6.12871176      0.6042030871E+00
  -0.3946000000     -6.12599062      0.5900469850E+00
  -0.3945000000     -6.12326949      0.5767558196E+00
  -0.3944000000     -6.12054835      0.5643382206E+00
  -0.3943000000     -6.11782721      0.5527991765E+00
  -0.3942000000     -6.11510607      0.5421414454E+00
  -0.3941000000     -6.11238493      0.5323668093E+00
  -0.3940000000     -6.10966379      0.5234771983E+00
  -0.3939000000     -6.10694265      0.5154757108E+00
  -0.3938000000     -6.10422152      0.5083675593E+00
  -0.3937000000     -6.10150038      0.5021609660E+00
  -0.3936000000     -6.09877924      0.4968680343E+00
  -0.3935000000     -6.09605810      0.4925056204E+00
  -0.3934000000     -6.09333696      0.4890962245E+00
  -0.3933000000     -6.09061582      0.4866689222E+00
  -0.3932000000     -6.08789469      0.4852603452E+00
  -0.3931000000     -6.08517355      0.4849157172E+00
  -0.3930000000     -6.08245241      0.4856899293E+00
  -0.3929000000     -6.07973127      0.4876486159E+00
  -0.3928000000     -6.07701013      0.4908691455E+00
  -0.3927000000     -6.07428899      0.4954413609E+00
  -0.3926000000     -6.07156786      0.5014677798E+00
  -0.3925000000     -6.06884672      0.5090627493E+00
  -0.3924000000     -6.06612558      0.5183497013E+00
  -0.3923000000     -6.06340444      0.5294550822E+00
  -0.3922000000     -6.06068330      0.5424966168E+00
  -0.3921000000     -6.05796216      0.5575621277E+00
  -0.3920000000     -6.05524103      0.5746729754E+00
  -0.3919000000     -6.05251989      0.5937231785E+00
  -0.3918000000     -6.04979875      0.6143817392E+00
  -0.3917000000     -6.04707761      0.6359432857E+00
  -0.3916000000     -6.04435647      0.6571158294E+00
  -0.3915000000     -6.04163533      0.6757557279E+00
  -0.3914000000     -6.03891419      0.6886190236E+00
  -0.3913000000     -6.03619306      0.6913139182E+00
  -0.3912000000     -6.03347192      0.6787817281E+00
  -0.3911000000     -6.03075078      0.6466345664E+00
  -0.3910000000     -6.02802964      0.5932298227E+00
  -0.3909000000     -6.02530850      0.5214351836E+00
  -0.3908000000     -6.02258736      0.4385324343E+00
  -0.3907000000     -6.01986623      0.3538045293E+00
  -0.3906000000     -6.01714509      0.2753282592E+00
  -0.3905000000     -6.01442395      0.2080058657E+00
  -0.3904000000     -6.01170281      0.1534659074E+00
  -0.3903000000     -6.00898167      0.1110724474E+00
  -0.3902000000     -6.00626053      0.7907951680E-01
  -0.3901000000     -6.00353940      0.5545101009E-01
  -0.3900000000     -6.00081826      0.3829515547E-01
  -0.3899000000     -5.99809712      0.2603097799E-01
  -0.3898000000     -5.99537598      0.1741092064E-01
  -0.3897000000     -5.99265484      0.1148211392E-01
  -0.3896000000     -5.98993370      0.7530118397E-02
  -0.3895000000     -5.98721257      0.5024633698E-02
  -0.3894000000     -5.98449143      0.3573974361E-02
  -0.3893000000     -5.98177029      0.2889365064E-02
  -0.3892000000     -5.97904915      0.2757911801E-02
  -0.3891000000     -5.97632801      0.3022530082E-02
  -0.3890000000     -5.97360687      0.3567187129E-02
  -0.3889000000     -5.97088573      0.4306098432E-02
  -0.3888000000     -5.96816460      0.5175826078E-02
  -0.3887000000     -5.96544346      0.6129491901E-02
  -0.3886000000     -5.96272232      0.7132528133E-02
  -0.3885000000     -5.96000118      0.8159546182E-02
  -0.3884000000     -5.95728004      0.9192020291E-02
  -0.3883000000     -5.95455890      0.1021656698E-01
