#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.182849444280 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -5.90896716      0.9155290505E+00
  -0.3999000000     -5.90624602      0.9023936424E+00
  -0.3998000000     -5.90352488      0.8887911067E+00
  -0.3997000000     -5.90080374      0.8748138701E+00
  -0.3996000000     -5.89808260      0.8605483091E+00
  -0.3995000000     -5.89536147      0.8460743845E+00
  -0.3994000000     -5.89264033      0.8314654494E+00
  -0.3993000000     -5.88991919      0.8167882071E+00
  -0.3992000000     -5.88719805      0.8021027920E+00
  -0.3991000000     -5.88447691      0.7874629519E+00
  -0.3990000000     -5.88175577      0.7729163077E+00
  -0.3989000000     -5.87903464      0.7585046705E+00
  -0.3988000000     -5.87631350      0.7442644001E+00
  -0.3987000000     -5.87359236      0.7302267872E+00
  -0.3986000000     -5.87087122      0.7164184496E+00
  -0.3985000000     -5.86815008      0.7028617290E+00
  -0.3984000000     -5.86542894      0.6895750832E+00
  -0.3983000000     -5.86270780      0.6765734653E+00
  -0.3982000000     -5.85998667      0.6638686859E+00
  -0.3981000000     -5.85726553      0.6514697559E+00
  -0.3980000000     -5.85454439      0.6393832063E+00
  -0.3979000000     -5.85182325      0.6276133852E+00
  -0.3978000000     -5.84910211      0.6161627309E+00
  -0.3977000000     -5.84638097      0.6050320216E+00
  -0.3976000000     -5.84365984      0.5942206015E+00
  -0.3975000000     -5.84093870      0.5837265866E+00
  -0.3974000000     -5.83821756      0.5735470478E+00
  -0.3973000000     -5.83549642      0.5636781756E+00
  -0.3972000000     -5.83277528      0.5541154272E+00
  -0.3971000000     -5.83005414      0.5448536556E+00
  -0.3970000000     -5.82733301      0.5358872247E+00
  -0.3969000000     -5.82461187      0.5272101097E+00
  -0.3968000000     -5.82189073      0.5188159858E+00
  -0.3967000000     -5.81916959      0.5106983048E+00
  -0.3966000000     -5.81644845      0.5028503616E+00
  -0.3965000000     -5.81372731      0.4952653524E+00
  -0.3964000000     -5.81100618      0.4879364240E+00
  -0.3963000000     -5.80828504      0.4808567161E+00
  -0.3962000000     -5.80556390      0.4740193975E+00
  -0.3961000000     -5.80284276      0.4674176967E+00
  -0.3960000000     -5.80012162      0.4610449269E+00
  -0.3959000000     -5.79740048      0.4548945077E+00
  -0.3958000000     -5.79467934      0.4489599824E+00
  -0.3957000000     -5.79195821      0.4432350317E+00
  -0.3956000000     -5.78923707      0.4377134854E+00
  -0.3955000000     -5.78651593      0.4323893311E+00
  -0.3954000000     -5.78379479      0.4272567203E+00
  -0.3953000000     -5.78107365      0.4223099738E+00
  -0.3952000000     -5.77835251      0.4175435844E+00
  -0.3951000000     -5.77563138      0.4129522188E+00
  -0.3950000000     -5.77291024      0.4085307184E+00
  -0.3949000000     -5.77018910      0.4042740988E+00
  -0.3948000000     -5.76746796      0.4001775490E+00
  -0.3947000000     -5.76474682      0.3962364289E+00
  -0.3946000000     -5.76202568      0.3924462677E+00
  -0.3945000000     -5.75930455      0.3888027606E+00
  -0.3944000000     -5.75658341      0.3853017659E+00
  -0.3943000000     -5.75386227      0.3819393011E+00
  -0.3942000000     -5.75114113      0.3787115398E+00
  -0.3941000000     -5.74841999      0.3756148071E+00
  -0.3940000000     -5.74569885      0.3726455764E+00
  -0.3939000000     -5.74297772      0.3698004645E+00
  -0.3938000000     -5.74025658      0.3670762281E+00
  -0.3937000000     -5.73753544      0.3644697597E+00
  -0.3936000000     -5.73481430      0.3619780831E+00
  -0.3935000000     -5.73209316      0.3595983494E+00
  -0.3934000000     -5.72937202      0.3573278334E+00
  -0.3933000000     -5.72665088      0.3551639291E+00
  -0.3932000000     -5.72392975      0.3531041465E+00
  -0.3931000000     -5.72120861      0.3511461072E+00
  -0.3930000000     -5.71848747      0.3492875409E+00
  -0.3929000000     -5.71576633      0.3475262821E+00
  -0.3928000000     -5.71304519      0.3458602664E+00
  -0.3927000000     -5.71032405      0.3442875271E+00
  -0.3926000000     -5.70760292      0.3428061921E+00
  -0.3925000000     -5.70488178      0.3414144808E+00
  -0.3924000000     -5.70216064      0.3401107010E+00
  -0.3923000000     -5.69943950      0.3388932458E+00
  -0.3922000000     -5.69671836      0.3377605911E+00
  -0.3921000000     -5.69399722      0.3367112930E+00
  -0.3920000000     -5.69127609      0.3357439848E+00
  -0.3919000000     -5.68855495      0.3348573748E+00
  -0.3918000000     -5.68583381      0.3340502439E+00
  -0.3917000000     -5.68311267      0.3333214433E+00
  -0.3916000000     -5.68039153      0.3326698924E+00
  -0.3915000000     -5.67767039      0.3320945766E+00
  -0.3914000000     -5.67494926      0.3315945452E+00
  -0.3913000000     -5.67222812      0.3311689098E+00
  -0.3912000000     -5.66950698      0.3308168422E+00
  -0.3911000000     -5.66678584      0.3305375729E+00
  -0.3910000000     -5.66406470      0.3303303891E+00
  -0.3909000000     -5.66134356      0.3301946335E+00
  -0.3908000000     -5.65862242      0.3301297023E+00
  -0.3907000000     -5.65590129      0.3301350442E+00
  -0.3906000000     -5.65318015      0.3302101586E+00
  -0.3905000000     -5.65045901      0.3303545948E+00
  -0.3904000000     -5.64773787      0.3305679500E+00
  -0.3903000000     -5.64501673      0.3308498685E+00
  -0.3902000000     -5.64229559      0.3312000408E+00
  -0.3901000000     -5.63957446      0.3316182016E+00
  -0.3900000000     -5.63685332      0.3321041297E+00
  -0.3899000000     -5.63413218      0.3326576462E+00
  -0.3898000000     -5.63141104      0.3332786138E+00
  -0.3897000000     -5.62868990      0.3339669359E+00
  -0.3896000000     -5.62596876      0.3347225553E+00
  -0.3895000000     -5.62324763      0.3355454538E+00
  -0.3894000000     -5.62052649      0.3364356507E+00
  -0.3893000000     -5.61780535      0.3373932024E+00
  -0.3892000000     -5.61508421      0.3384182012E+00
  -0.3891000000     -5.61236307      0.3395107748E+00
  -0.3890000000     -5.60964193      0.3406710849E+00
  -0.3889000000     -5.60692080      0.3418993269E+00
  -0.3888000000     -5.60419966      0.3431957289E+00
  -0.3887000000     -5.60147852      0.3445605506E+00
  -0.3886000000     -5.59875738      0.3459940829E+00
  -0.3885000000     -5.59603624      0.3474966464E+00
  -0.3884000000     -5.59331510      0.3490685912E+00
  -0.3883000000     -5.59059396      0.3507102957E+00
  -0.3882000000     -5.58787283      0.3524221654E+00
  -0.3881000000     -5.58515169      0.3542046326E+00
  -0.3880000000     -5.58243055      0.3560581548E+00
  -0.3879000000     -5.57970941      0.3579832137E+00
